% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.321	1	0	1	196.922	0
0.322	1	0	2	485.207	0
0.323	1	0	3	375.739	0
0.324	1	0	4	150.81	0
0.325	1	0	5	626.239	0
0.326	1	0	6	232.749	0
0.327	1	0	7	293.586	0
0.328	1	0	8	170.078	0
0.329	1	0	9	156.242	0
0.33	1	0	10	2016.22	0
0.331	1	0	11	365.884	0
0.332	1	0	12	151.743	0
0.641	1	0	1	196.489	0
0.642	1	0	2	483.911	0
0.643	1	0	3	376.304	0
0.644	1	0	4	150.56	0
0.645	1	0	5	628.329	0
0.646	1	0	6	232.085	0
0.647	1	0	7	293.362	0
0.648	1	0	8	169.827	0
0.649	1	0	9	156.527	0
0.65	1	0	10	2003.11	0
0.651	1	0	11	366.154	0
0.652	1	0	12	151.732	0
0.961	1	0	1	196.058	0
0.962	1	0	2	482.619	0
0.963	1	0	3	376.869	0
0.964	1	0	4	150.309	0
0.965	1	0	5	630.43	0
0.966	1	0	6	231.423	0
0.967	1	0	7	293.138	0
0.968	1	0	8	169.577	0
0.969	1	0	9	156.814	0
0.97	1	0	10	1990.12	0
0.971	1	0	11	366.423	0
0.972	1	0	12	151.722	0
1.281	1	0	1	195.628	0
1.282	1	0	2	481.333	0
1.283	1	0	3	377.433	0
1.284	1	0	4	150.059	0
1.285	1	0	5	632.541	0
1.286	1	0	6	230.764	0
1.287	1	0	7	292.914	0
1.288	1	0	8	169.327	0
1.289	1	0	9	157.101	0
1.29	1	0	10	1977.25	0
1.291	1	0	11	366.692	0
1.292	1	0	12	151.71	0
1.601	1	0	1	195.199	0
1.602	1	0	2	480.051	0
1.603	1	0	3	377.995	0
1.604	1	0	4	149.81	0
1.605	1	0	5	634.662	0
1.606	1	0	6	230.108	0
1.607	1	0	7	292.689	0
1.608	1	0	8	169.077	0
1.609	1	0	9	157.389	0
1.61	1	0	10	1964.5	0
1.611	1	0	11	366.96	0
1.612	1	0	12	151.699	0
1.921	1	0	1	194.772	0
1.922	1	0	2	478.774	0
1.923	1	0	3	378.557	0
1.924	1	0	4	149.56	0
1.925	1	0	5	636.794	0
1.926	1	0	6	229.454	0
1.927	1	0	7	292.465	0
1.928	1	0	8	168.828	0
1.929	1	0	9	157.677	0
1.93	1	0	10	1951.87	0
1.931	1	0	11	367.228	0
1.932	1	0	12	151.688	0
